url,WeekID,Week Position,Song,Performer,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart,Length,BPM
http://www.billboard.com/charts/hot-100/2015-06-20,6/20/2015,10,Sugar,Maroon 5,SugarMaroon 5,1,9,2,21,3:55,120
http://www.billboard.com/charts/hot-100/2015-06-27,6/27/2015,10,"Honey, I'm Good.",Andy Grammer,"Honey, I'm Good.Andy Grammer",2,9,9,16,3:19,122
http://www.billboard.com/charts/hot-100/2015-07-04,7/4/2015,10,Earned It (Fifty Shades Of Grey),The Weeknd,Earned It (Fifty Shades Of Grey)The Weeknd,1,8,3,26,4:37,120
http://www.billboard.com/charts/hot-100/2015-07-11,7/11/2015,10,Hey Mama,"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack","Hey MamaDavid Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack",1,8,8,14,3:12,86
http://www.billboard.com/charts/hot-100/2015-07-18,7/18/2015,10,Fight Song,Rachel Platten,Fight SongRachel Platten,1,14,10,12,3:24,176
http://www.billboard.com/charts/hot-100/2015-07-25,7/25/2015,10,Hey Mama,"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack","Hey MamaDavid Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack",1,9,8,16,3:12,86
http://www.billboard.com/charts/hot-100/2015-08-01,8/1/2015,10,The Hills,The Weeknd,The HillsThe Weeknd,1,12,10,8,4:02,113
http://www.billboard.com/charts/hot-100/2015-08-08,8/8/2015,10,Lean On,Major Lazer & DJ Snake Featuring MO,Lean OnMajor Lazer & DJ Snake Featuring MO,1,9,9,16,2:56,98
http://www.billboard.com/charts/hot-100/2015-08-15,8/15/2015,10,Shut Up And Dance,WALK THE MOON,Shut Up And DanceWALK THE MOON,2,9,4,38,3:19,128
http://www.billboard.com/charts/hot-100/2015-08-22,8/22/2015,10,My Way,Fetty Wap Featuring Monty,My WayFetty Wap Featuring Monty,2,8,7,5,3:39,120
http://www.billboard.com/charts/hot-100/2015-08-29,8/29/2015,10,Good For You,Selena Gomez Featuring A$AP Rocky,Good For YouSelena Gomez Featuring A$AP Rocky,1,13,9,8,3:29,120
